velocity,x_direct,x_distance,y_direct,y_distance,d12,d23,d34,d45,d26,d67,d78,d215,d159,d910,d1011,d1512,d1213,d1314,type
42.206,3,2,3,2,20.125,19.235,22.361,26.627,13.892,22.023,23.537,38.471,18.974,29.547,34.366,32.985,30.414,29.682,netplay
32.996,3,3,2,3,25.456,14.318,19.849,19.026,13.038,22.804,23.022,37.736,27.459,40.447,45.793,22.847,43.046,39.459,cut
12.894,2,2,2,2,16.643,14.318,16.492,20.518,12.806,19.235,15.556,12.042,14.318,16.279,23.409,17.692,22.023,11.045,netplay
3.124,2,2,2,2,24.352,15,16,0,0,17.464,8,21.932,27.459,41.785,34,24.042,39.623,34,netplay
13.912,2,3,2,2,18.439,14.213,20.396,23.409,12.042,28.32,19.416,47.297,20.248,30.48,38.91,21.954,36.346,32.28,long
29.384,3,3,3,2,32,11.314,32.016,28.844,16,22.627,21.932,25.298,23,33.941,39.812,21.932,46.648,34.886,long
49.023,3,2,3,3,23,17.889,17,16,16,17.889,10.63,16,17,32.016,21.932,17,32.016,24.352,cut
13.286,3,3,3,3,32.985,15,28.844,17.889,17.889,24.352,11.314,32,21.932,40.792,32.985,17.889,48.662,40.792,netplay
25.399,3,3,3,2,17,7,22.627,24.352,11.314,17.889,10.63,25,7,23,17.889,16.553,17,16,lob
68.487,3,2,3,2,32.016,16,28.844,21.213,17,17.889,11.314,25.298,24.352,33.941,31,24.352,39.408,31,cut
22.772,3,3,3,3,16,8,17.889,11.314,15,8,8,16,17.889,25.298,17.889,17.889,24,10.63,netplay
6.317,2,2,2,2,32.985,15,24.352,17.889,16,24.352,25.298,23,24,24.352,32.016,22.627,25.298,33.242,netplay
20.308,3,5,3,3,23,16,17.889,8,8,16,11.314,16,17,28.844,22.627,17,24,0,lob
25.761,3,1,3,2,21.932,0,28.302,0,11.314,24.352,0,28.302,8,28.018,24.352,0,28.018,23,lob
26.15,2,3,2,4,28.844,15,28.018,17.889,10.63,24,0,27.459,17.889,38.601,46.141,17.889,38.601,40.792,cut
51.146,3,4,3,2,18.028,10.817,19.313,15.133,19.925,16.401,12.728,26.077,20.591,26.077,24.187,22.136,29.155,23.022,long
30.26,3,3,2,2,16.125,19.416,30.083,26.571,13.892,14,15,41.34,24.083,34.482,34.713,19.925,36.249,30.529,long
38.448,2,4,2,2,15.133,14,15,10.817,13.892,14.765,12.649,23.77,22.472,17.029,19.026,21.84,26.476,24.083,long
