velocity,x_direct,x_distance,y_direct,y_distance,x12,y12,x23,y23,x34,y34,x45,y45,x26,y26,x67,y67,x78,y78,x215,y215,x159,y159,x910,y910,x1011,y1011,x1512,y1512,x1213,y1213,x1314,y1314,type
34.497,3,3,3,2,-8,24,16,8,-8,16,0,8,-7,0,-16,0,-23,0,0,16,0,24,16,23,-8,32,-15,24,-16,39,16,24,long
27.051,3,2,3,2,-23,16,-8,8,0,24,8,24,0,-8,0,24,0,8,-16,8,-8,8,16,16,8,24,-8,8,16,16,0,8,cut
7.671,2,2,3,3,8,24,16,8,0,7,-16,8,-8,8,-8,31,-16,-8,8,31,15,24,8,39,16,24,0,24,-16,39,8,39,netplay
15.887,2,2,2,2,8,23,-16,8,-8,15,8,8,16,0,0,16,-8,7,0,23,-16,16,-8,23,-8,30,0,16,8,23,-8,30,lob
6.968,2,2,2,1,0,24,-8,8,0,23,0,16,16,8,0,16,0,15,8,24,-8,23,-8,24,8,23,0,23,0,24,-8,23,netplay
7.392,2,2,2,2,-2,23,-15,5,-5,17,-11,19,22,7,1,22,4,26,4,34,-11,27,4,29,0,32,12,24,-4,26,5,34,netplay
57.896,3,4,3,2,-11,15,-13,-12,-2,-12,1,-12,8,10,-7,14,-1,-16,-13,19,-18,16,-1,24,-1,26,1,20,5,26,6,22,cut
35.163,3,3,2,2,6,21,-1,8,-15,0,-23,-1,8,3,15,1,3,15,25,21,7,19,-20,7,-24,28,14,21,-2,29,28,21,lob
25.726,2,3,2,2,0,16,-8,0,-15,8,-24,-8,8,8,15,7,0,0,0,23,0,16,-8,31,0,24,16,16,7,31,16,24,cut
4.578,2,3,2,2,8,24,8,0,-8,8,-8,-8,-8,0,-15,-8,8,8,0,23,16,16,-16,31,8,32,0,16,0,31,8,32,netplay
62.318,3,3,3,3,16,13,16,-3,14,-27,13,-24,-7,19,9,-4,-8,-22,19,37,18,22,12,41,-17,31,-4,24,-5,36,-8,39,cut
17.769,3,3,3,3,-16,15,8,8,16,8,16,8,-8,0,-16,0,-16,8,-8,16,-16,15,-8,23,-32,8,-8,15,16,8,8,23,netplay
32.405,3,3,3,2,-8,24,15,8,-7,16,-8,8,-8,-8,-15,8,-16,8,0,16,0,24,15,16,0,32,-16,24,-15,40,15,16,lob
52.147,3,3,3,2,-14,7,-6,-10,7,-13,11,-12,0,19,-14,0,0,-11,-18,14,-20,14,-12,21,-15,23,2,19,7,23,19,10,smash
36.017,3,3,3,2,-8,24,16,8,0,16,0,0,-16,0,-23,16,-8,-8,-8,24,0,24,24,31,31,32,-16,16,-23,31,-16,32,lob
70.427,3,3,3,2,-16,8,-10,-5,3,-11,4,-9,-3,12,-2,17,13,-13,-16,17,-20,9,-26,24,19,5,-1,20,3,26,5,23,smash
