hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
2,3,1,2,2,2,3,2,2,3,72.602,smash
3,2,2,3,1,1,2,2,2,3,23.778,lob
2,1,1,2,2,2,2,3,2,2,72.159,drive
3,2,2,2,3,1,2,3,2,2,29.535,lob
3,3,1,3,3,2,3,2,3,2,70.301,smash
2,3,2,2,1,2,3,3,3,3,20.379,netplay
3,1,2,2,4,1,3,3,3,2,24.118,lob
3,4,1,2,1,2,2,4,3,2,28.899,cut
3,1,2,3,1,2,2,3,3,2,12.026,netplay
2,1,2,3,1,2,3,2,3,2,13.25,netplay
2,1,2,2,4,1,3,2,2,1,19.77,lob
3,4,1,2,3,1,2,4,2,2,39.931,long
3,3,1,3,2,2,3,3,3,3,42.287,cut
2,2,2,3,3,1,3,2,3,3,33.282,lob
2,3,1,2,4,2,3,3,2,3,42.007,long
3,4,1,3,2,2,3,3,3,3,32.613,cut
2,2,2,3,3,1,3,2,3,3,29.323,lob
2,3,1,2,4,1,3,3,2,3,45.339,long
3,4,1,3,1,2,2,3,3,3,26.007,cut
2,1,2,2,4,1,3,2,3,2,26.21,lob
3,4,1,3,3,1,3,2,3,3,44.924,long
2,3,1,2,1,2,3,3,3,3,21.296,cut
3,1,2,3,1,2,3,3,3,2,6.287,netplay
2,4,1,3,2,2,2,3,2,4,58.748,cut
2,2,2,3,1,2,3,3,2,3,19.307,netplay
2,1,2,2,4,1,2,3,2,2,23.56,lob
3,4,1,2,1,2,2,3,2,2,29.571,cut
3,1,2,2,4,1,3,3,3,2,26.416,lob
3,4,1,3,2,2,2,5,3,2,73.714,smash
2,2,2,2,3,1,2,4,2,2,32.77,lob
3,3,1,2,1,2,2,4,2,2,58.622,smash
2,4,1,2,3,2,3,4,3,2,69.636,smash
3,3,2,3,1,2,3,4,3,3,23.55,netplay
2,1,2,3,3,1,3,2,3,2,28.253,lob
2,3,1,1,3,2,3,2,2,3,44.999,smash
3,1,2,2,4,1,2,3,3,2,13.212,long
3,4,1,2,4,1,2,5,2,2,37.2,long
3,4,1,3,2,2,3,3,3,3,53.389,cut
2,2,2,2,1,2,3,3,3,3,18.9,netplay
3,1,2,2,1,2,3,3,3,2,15.526,netplay
3,1,2,3,3,1,2,2,3,2,18.076,lob
2,3,1,3,3,2,2,2,2,2,72.013,smash
2,3,2,2,1,2,2,3,2,3,23.007,netplay
3,1,2,2,4,1,3,3,3,2,25.971,lob
3,4,1,2,1,2,2,3,2,2,31.183,cut
3,1,2,3,3,1,2,3,3,2,32.443,lob
