velocity,x_left_direct,x_left_distance,x_right_direct,x_right_distance,y_left_direct,y_left_distance,y_right_direct,y_right_distance,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,type
22.969,2,1,2,2,3,2,3,2,27,-1,35,23,19,23,19,39,27,47,42,23,42,31,35,23,27,55,19,86,11,110,42,55,50,78,42,102,35,39,lob
31.137,3,2,3,2,3,4,3,3,78,-3,70,29,78,37,102,53,126,61,62,29,94,53,126,61,46,69,70,84,94,124,54,69,70,84,14,92,62,53,cut
27.953,2,2,2,2,3,2,3,3,28,-2,36,14,28,21,21,37,5,45,51,14,59,14,67,37,44,45,28,60,13,84,51,45,67,60,82,76,44,37,lob
35.192,2,2,2,2,2,3,2,3,59,-8,67,23,51,23,27,15,3,15,75,23,91,38,107,54,67,69,35,93,27,131,83,77,91,116,115,116,67,46,long
42.224,2,3,2,3,2,2,2,2,37,1,29,17,21,17,5,17,-3,9,37,24,45,40,45,24,29,55,37,86,61,102,37,55,45,86,61,102,29,40,long
41.763,2,3,2,3,2,3,2,2,12,41,27,48,48,38,50,15,48,-13,24,62,33,47,35,30,74,96,80,134,80,169,53,102,43,132,17,152,57,79,long
27.173,2,3,2,3,3,2,3,2,37,3,29,26,37,34,21,34,21,42,14,26,6,34,-1,19,29,73,21,105,37,113,14,73,14,113,29,144,21,58,lob
39.49,3,3,3,4,3,2,3,2,63,56,49,62,43,51,41,37,42,18,54,77,41,89,39,77,22,99,6,124,9,147,38,101,50,124,71,136,36,82,long
33.257,3,3,3,3,2,3,2,2,8,47,26,54,44,42,51,16,42,-2,38,70,57,65,70,45,85,97,108,118,109,160,62,100,47,125,20,146,65,76,cut
28.979,2,3,3,2,2,3,2,2,2,7,20,19,36,34,48,23,26,27,17,39,17,28,13,4,46,85,47,123,34,164,25,85,29,120,18,159,35,63,long
54.281,3,3,3,3,3,3,3,3,2,50,17,74,17,82,33,98,25,66,33,66,49,34,57,10,33,122,33,161,25,201,57,114,72,161,49,201,33,98,smash
22.979,3,3,3,3,3,2,3,3,107,-1,84,14,84,14,107,29,123,45,76,6,76,29,76,29,53,37,37,60,14,68,53,37,84,45,84,68,69,29,netplay
23.504,3,2,3,3,3,2,3,2,71,-2,65,17,73,28,80,29,80,23,49,16,36,28,16,35,63,70,75,70,65,103,48,70,37,102,45,116,59,52,lob
51.551,3,3,3,4,3,2,3,2,83,17,67,24,52,17,49,6,61,-5,64,42,56,55,45,51,31,47,20,81,11,109,52,64,53,82,68,90,49,37,smash
