hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity_new,type
2,1,2,3,3,1,2,2,2,2,24.83362035,lob
3,3,1,2,2,2,2,3,2,4,47.59373994,cut
2,2,2,3,3,1,2,3,2,2,41.96272485,lob
3,3,1,2,2,2,2,3,2,2,57.83287574,smash
2,2,2,3,1,1,2,3,2,2,29.52174781,lob
3,2,2,2,4,1,2,3,3,2,17.20151057,long
2,4,1,3,2,2,2,4,2,2,66.34829765,cut
3,2,2,2,1,2,2,3,2,2,25.55435139,netplay
2,1,2,3,1,2,2,3,2,2,16.51204927,netplay
3,1,2,2,1,2,2,3,2,1,11.02943854,netplay
2,1,2,3,4,1,2,2,2,2,17.36350571,lob
3,4,1,2,2,2,2,3,2,4,58.24753533,smash
2,2,2,3,1,2,2,3,3,2,15.79832076,netplay
3,1,2,3,3,1,2,3,2,1,19.47116563,lob
3,3,1,3,3,2,3,4,3,3,70.53806918,cut
3,3,2,2,1,2,3,3,3,3,20.55346453,netplay
3,2,2,3,4,1,3,3,2,2,16.45299785,long
3,4,1,3,2,2,3,5,3,2,49.16677889,smash
3,2,2,2,1,1,3,3,2,2,19.37886433,netplay
2,2,2,3,1,2,3,2,2,2,20.31339072,netplay
3,1,2,2,3,1,2,3,2,2,18.77496884,lob
2,3,1,3,2,2,2,3,2,2,47.75844761,cut
3,2,2,2,1,2,2,3,2,2,17.85491525,lob
2,1,2,3,3,1,2,2,3,2,17.63913606,lob
3,3,1,3,1,2,2,3,2,3,30.71892383,drive
3,1,2,2,2,1,3,2,3,2,29.11399553,lob
2,2,1,3,1,2,3,3,3,2,22.64721283,netplay
3,1,2,2,1,2,3,2,3,2,12.21111298,netplay
2,1,2,3,1,2,3,2,3,1,7.864403694,netplay
3,1,2,3,1,2,3,2,3,2,16.0900161,netplay
3,1,2,2,1,2,3,2,2,1,6.641043831,netplay
2,1,2,3,4,1,2,1,2,2,14.47526358,lob
3,4,1,2,2,2,2,3,2,3,74.95886741,smash
2,2,2,3,1,1,2,3,2,3,19.85983538,lob
3,1,1,2,1,2,2,3,2,1,8.287487495,netplay
2,1,2,2,1,2,2,2,2,2,14.2869837,netplay
2,1,2,2,3,1,2,2,3,1,23.55754432,lob
2,3,1,2,4,1,2,4,3,2,23.98947533,long
2,4,1,3,2,2,3,3,3,3,79.02047828,smash
3,2,2,3,1,2,3,3,3,3,18.38929318,netplay
3,1,2,3,3,1,2,3,2,2,19.94175844,lob
3,3,1,3,1,2,3,3,3,2,24.23573049,cut
3,2,2,2,4,1,2,3,3,2,16.07100856,long
2,4,1,3,3,2,2,4,2,3,74.93148152,cut
3,3,2,3,1,2,2,3,2,3,22.59593381,netplay
3,1,2,2,1,2,3,2,3,2,14.22444002,netplay
2,1,2,2,3,1,3,2,3,2,23.44577058,lob
2,3,1,3,3,1,2,4,2,2,26.80335639,long
3,3,1,2,2,2,2,3,2,4,53.64000636,cut
2,2,2,3,3,1,2,3,2,3,33.94825964,lob
3,3,1,2,1,2,2,3,2,2,64.52445107,cut
2,1,2,2,1,2,2,3,2,2,22.58619143,drive
2,1,2,3,3,1,2,3,3,2,23.94759865,lob
2,2,2,2,3,1,2,3,3,2,29.66416873,lob
2,3,1,2,3,1,3,3,3,3,26.65579234,long
2,3,1,2,2,2,2,5,2,2,65.31137001,smash
2,2,2,3,1,2,2,3,3,2,14.82601589,netplay
3,1,2,2,1,2,3,2,3,2,9.075449053,netplay
2,1,2,2,3,1,3,2,3,1,20.87638611,lob
2,3,1,3,4,1,2,4,3,2,22.93440476,long
3,4,1,3,2,2,3,3,2,4,57.39753946,cut
3,2,2,3,1,2,3,2,3,3,19.85252858,drive
3,1,2,2,3,1,2,3,2,2,25.35387968,netplay
2,3,1,3,2,2,2,3,2,2,23.78315905,cut
3,2,2,2,3,1,2,3,2,2,18.24566268,lob
2,3,1,3,3,2,2,4,2,2,75.61152456,cut
3,3,2,3,2,2,2,3,2,3,13.8247043,lob
3,2,2,3,2,2,3,2,3,2,21.52170238,netplay
3,2,2,3,3,1,3,3,2,2,25.88839381,lob
3,3,1,3,1,2,3,4,3,2,28.6700794,cut
3,1,2,2,1,1,2,3,2,1,7.226215807,netplay
2,1,1,2,4,2,2,2,2,2,12.46582403,lob
2,4,2,2,1,2,3,3,3,3,35.65738562,cut
2,1,2,3,1,1,2,2,3,2,11.22891131,netplay
3,1,1,2,1,2,2,3,2,1,6.218181818,netplay
2,1,2,2,1,2,2,1,2,2,15.60943552,netplay
3,2,2,3,4,1,3,3,2,2,17.10327908,long
3,4,1,2,1,2,3,4,3,2,36.39258517,cut
2,1,2,2,3,1,3,3,3,2,28.34216185,drive
2,3,1,3,1,1,2,3,2,2,12.7951622,drive
3,1,1,2,1,2,2,3,2,2,8.576189154,netplay
