rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
6.0,17.0,00:53:32.160,80304.0,A,,放小球,,1.0,A1,99.0,565.0,2.0,,,4,1,,B1,78.0,359.0,2.0,1000.0,254,84,207,887,155,310,249,285,20.0,80.0,80.0,80.0,78.0,119.5,142.70336366042673,59.49999999999999,97.0,113.79477140888328,0.0723748920551872,1080.5891911360209,1,0,0,0,0,1,0,0
6.0,18.0,00:53:33.240,80331.0,B,,挑球,,,B1,78.0,359.0,2.0,,,4,1,,B3,281.0,877.0,1.0,1000.0,155,310,249,285,250,125,332,1109,40.0,80.0,40.0,20.0,21.0,59.49999999999999,63.097147320619804,16.5,2.0,16.62077013859466,0.007288689868556625,97.18538984847466,0,1,0,0,1,0,0,0
6.0,19.0,00:53:34.720,80368.0,A,,切球,,,B3,281.0,877.0,1.0,,,4,1,,B1,88.0,361.0,2.0,1000.0,250,125,332,1109,149,375,226,223,70.0,60.0,90.0,10.0,9.25,96.0,96.44460845480167,14.749999999999998,64.75,66.40877201093241,0.011510864433221338,1086.803110043397,1,0,0,0,0,1,0,0
6.0,20.0,00:53:35.760,80394.0,B,,挑球,,,B1,88.0,361.0,2.0,,,4,1,,B4,286.0,892.0,1.0,1000.0,149,375,226,223,271,145,357,1087,90.0,20.0,50.0,40.0,34.75,29.499999999999996,45.58302864005418,33.75,49.0,59.49842434888507,0.11145206368659129,39.81205847478876,0,1,0,0,1,0,0,0
6.0,21.0,00:53:36.960,80424.0,A,,切球,,,B4,286.0,892.0,1.0,,,4,1,,A3,313.0,184.0,2.0,1000.0,271,145,357,1087,294,131,374,131,30.0,10.0,20.0,90.0,34.25,55.25,65.00480751452157,56.99999999999999,269.75,275.7064788865144,0.0280178514522438,595.6886770788916,1,0,0,0,0,1,0,0
6.0,22.0,00:53:37.560,80439.0,B,,擋小球,,1.0,A3,313.0,184.0,2.0,,,4,1,,A1,97.0,605.0,2.0,1000.0,294,131,374,131,312,164,252,976,70.0,0.0,80.0,30.0,0.75,27.5,27.51022537166862,42.0,60.75,73.85500998578227,0.041210587231923786,1028.2630986279728,0,1,0,0,1,0,0,0
6.0,23.0,00:53:38.600,80465.0,A,,挑球,,1.0,A1,97.0,605.0,2.0,,,4,1,,B4,89.0,43.0,1.0,1000.0,312,164,252,976,224,35,301,145,10.0,50.0,40.0,70.0,30.25,13.75,33.22837642738507,1.0,43.25,43.26155914897197,0.034794036845413615,115.20850663036997,1,0,0,0,0,1,0,0
6.0,24.0,00:53:39.640,80491.0,B,,長球,,,B4,89.0,43.0,1.0,,,4,1,,A3,104.0,875.0,1.0,1000.0,224,35,301,145,249,145,184,1042,40.0,50.0,40.0,20.0,6.0,3.75,7.075485849042452,8.5,9.5,12.747548783981962,0.03772018690303641,111.94641575325224,0,1,0,0,1,0,0,0
6.0,25.0,00:53:40.920,80523.0,A,,長球,1.0,,A3,104.0,875.0,1.0,,,4,1,,B3,57.0,97.0,1.0,1000.0,249,145,184,1042,154,49,224,97,80.0,40.0,90.0,80.0,14.499999999999998,26.5,30.20761493398643,10.25,10.5,14.67353059082919,0.2900294166114879,99.16148445843275,1,0,0,0,0,0,1,0
6.0,26.0,00:53:41.760,80544.0,B,,切球,,,B3,57.0,97.0,1.0,,,4,1,,B1,141.0,378.0,2.0,1000.0,154,49,224,97,113,-7,183,42,20.0,30.0,70.0,30.0,67.0,80.75,104.92646234387203,58.25,53.24999999999999,78.92163835096177,,1083.108489487549,0,0,1,0,0,0,1,0
6.0,27.0,00:53:42.240,80556.0,B,,未過網,,,B1,141.0,378.0,2.0,未回擊成功,對方失誤,5,1,A,,,,,,113,-7,183,42,,,,,10.0,70.0,20.0,90.0,42.25,51.74999999999999,66.80662392308116,12.0,29.749999999999996,32.07900403690863,0.01542165013542352,185.72291188757515,0,0,1,0,,,,
7.0,1.0,00:54:06.360,81159.0,A,1.0,發長球,,,B2,223.0,677.0,2.0,,,5,1,,A4,329.0,18.0,1.0,,,,,,493,-157,525,-157,30.0,90.0,30.0,30.0,6.75,12.25,13.986600730699363,14.249999999999998,13.25,19.458288722290046,,836.7675901945533,,,,,0,0,0,1
7.0,2.0,00:54:08.520,81213.0,B,,切球,,,A4,329.0,18.0,1.0,,,5,1,,A2,110.0,614.0,2.0,1000.0,493,-157,525,-157,434,-149,196,848,30.0,90.0,10.0,0.0,11.749999999999998,9.75,15.268431484602472,29.749999999999996,55.0,62.53049256162948,0.3053159224475527,58.9406481131655,0,0,0,1,1,0,0,0
7.0,3.0,00:54:09.200,81230.0,A,,放小球,,1.0,A2,110.0,614.0,2.0,,,5,1,,B1,85.0,340.0,2.0,1000.0,434,-149,196,848,149,427,247,310,40.0,70.0,80.0,40.0,6.5,10.75,12.562344526401112,0.5,16.0,16.00781059358212,,1066.1829111367335,1,0,0,0,1,0,0,0
7.0,4.0,00:54:10.200,81255.0,B,,挑球,,,B1,85.0,340.0,2.0,,,5,1,,A4,104.0,915.0,1.0,,149,427,247,310,,,,,30.0,80.0,80.0,90.0,3.25,18.0,18.291049723840345,29.499999999999996,27.25,40.159836902059254,0.17052940443741008,133.3604139165742,1,0,0,0,,,,
7.0,5.0,00:54:11.840,81296.0,A,,長球,1.0,,A4,104.0,915.0,1.0,,,5,1,,A4,265.0,48.0,1.0,,,,,,420,-36,479,-118,30.0,80.0,60.0,30.0,53.24999999999999,50.5,73.3880950836033,34.0,29.249999999999996,44.85044592866385,,989.0247721872289,,,,,0,0,0,1
7.0,6.0,00:54:13.280,81332.0,B,,長球,1.0,,A4,265.0,48.0,1.0,,,5,1,,B4,317.0,883.0,1.0,1000.0,420,-36,479,-118,304,49,463,1130,70.0,30.0,30.0,50.0,36.75,6.75,37.36475612124345,13.25,31.25,33.94296687091451,0.17913402803487674,741.4917396707801,0,0,0,1,1,0,0,0
7.0,7.0,00:54:14.840,81371.0,A,,切球,,,B4,317.0,883.0,1.0,,,5,1,,B2,48.0,283.0,2.0,1000.0,304,49,463,1130,149,260,270,118,60.0,0.0,0.0,10.0,3.5000000000000004,55.0,55.11125111989383,2.5,55.25,55.306532163931585,0.09780369369302981,1103.4364503676684,1,0,0,0,0,1,0,0
7.0,8.0,00:54:15.640,81391.0,B,,放小球,,,B2,48.0,283.0,2.0,,,5,1,,A1,75.0,598.0,2.0,1000.0,149,260,270,118,189,91,221,928,40.0,20.0,50.0,80.0,14.000000000000002,23.0,26.92582403567252,8.75,35.5,36.56244658115756,0.06861668893206667,58.9406481131655,0,1,0,0,1,0,0,0
7.0,9.0,00:54:16.640,81416.0,A,,挑球,,1.0,A1,75.0,598.0,2.0,,,5,1,,B3,62.0,129.0,1.0,1000.0,189,91,221,928,197,0,206,104,70.0,30.0,40.0,90.0,5.75,36.75,37.19711010280234,21.0,97.25,99.49151973912149,0.028780418690491628,976.3733916898801,1,0,0,0,0,0,1,0
7.0,10.0,00:54:17.240,81431.0,B,,切球,,,B3,62.0,129.0,1.0,,,5,1,,B1,280.0,595.0,2.0,1000.0,197,0,206,104,189,77,334,920,70.0,20.0,0.0,90.0,28.249999999999996,7.000000000000001,29.104338164610443,92.5,27.750000000000004,96.57283520742259,0.13156462290448753,77.02596964660685,0,0,1,0,1,0,0,0
7.0,11.0,00:54:18.160,81454.0,A,,挑球,,,B1,280.0,595.0,2.0,,,5,1,,A4,275.0,41.0,1.0,1000.0,189,77,334,920,398,-7,467,-141,40.0,40.0,80.0,60.0,48.5,8.5,49.23921201644072,46.99999999999999,26.0,53.71219600798314,0.03431107692859552,1042.489328482551,1,0,0,0,0,0,0,1
7.0,12.0,00:54:19.360,81484.0,B,,切球,1.0,,A4,275.0,41.0,1.0,,,5,1,,A1,110.0,602.0,2.0,1000.0,398,-7,467,-141,365,-43,252,940,50.0,30.0,30.0,30.0,46.25,24.25,52.221882386601116,44.25,15.75,46.96940493555353,0.2349577089605702,179.74426277353055,0,0,0,1,1,0,0,0
7.0,13.0,00:54:20.160,81504.0,A,,放小球,,1.0,A1,110.0,602.0,2.0,,,5,1,,B1,77.0,374.0,2.0,1000.0,365,-43,252,940,154,392,250,279,10.0,10.0,30.0,40.0,4.75,95.25,95.36836477574731,11.749999999999998,51.0,52.33605353864581,0.06751712745666837,953.2601953296906,1,0,0,0,1,0,0,0
7.0,14.0,00:54:21.320,81533.0,B,,放小球,,,B1,77.0,374.0,2.0,,,5,1,,B1,352.0,546.0,2.0,1000.0,154,392,250,279,275,310,366,856,60.0,70.0,0.0,30.0,1.0,64.25,64.2577816299318,17.5,156.75,157.72384886249765,,160.99689437998487,1,0,0,0,1,0,0,0
7.0,15.0,00:54:22.520,81563.0,A,,挑球,,,B1,352.0,546.0,2.0,,,5,1,,A4,293.0,36.0,1.0,,275,310,366,856,,,,,70.0,60.0,50.0,60.0,51.74999999999999,111.00000000000001,122.47065975163194,51.24999999999999,103.49999999999999,115.49377688862721,0.023486402685620272,693.3815688349381,1,0,0,0,,,,
7.0,16.0,00:54:24.040,81601.0,B,,長球,1.0,,A4,293.0,36.0,1.0,,,5,1,,B4,321.0,904.0,1.0,,,,,,345,28,433,1105,30.0,90.0,40.0,90.0,24.25,39.75,46.563129190379804,14.000000000000002,297.25,297.5795061828015,,102.88342918079665,,,,,1,0,0,0
7.0,17.0,00:54:25.400,81635.0,A,,長球,,,B4,321.0,904.0,1.0,,,5,1,,B4,81.0,29.0,1.0,1000.0,345,28,433,1105,181,0,255,63,30.0,20.0,70.0,30.0,19.25,10.5,21.92743715074792,58.25,15.75,60.34173514243686,0.1261764637323459,877.8382538941897,1,0,0,0,0,0,1,0
7.0,18.0,00:54:26.600,81665.0,B,,長球,,,B4,81.0,29.0,1.0,,,5,1,,A3,88.0,820.0,1.0,1000.0,181,0,255,63,205,-14,75,1065,80.0,30.0,50.0,0.0,10.5,31.75,33.441179704071445,11.25,45.0,46.38493828819868,0.1493088242536254,51.62363799656123,0,0,1,0,1,0,0,0
7.0,19.0,00:54:27.720,81693.0,A,,切球,1.0,,A3,88.0,820.0,1.0,,,5,1,,B1,110.0,383.0,2.0,1000.0,205,-14,75,1065,174,346,191,310,0.0,70.0,10.0,70.0,55.0,104.25,117.86883600002164,30.25,41.75,51.557007283200605,0.06704196447002429,776.0927779589242,1,0,0,0,1,0,0,0
7.0,20.0,00:54:28.880,81722.0,B,,放小球,,,B1,110.0,383.0,2.0,,,5,1,,B1,276.0,512.0,2.0,1000.0,174,346,191,310,214,191,321,777,80.0,50.0,20.0,80.0,24.5,78.75,82.47310167563725,43.0,50.5,66.32684222846736,,54.12947441089743,1,0,0,0,1,0,0,0
7.0,21.0,00:54:29.880,81747.0,A,,挑球,,,B1,276.0,512.0,2.0,,,5,1,,A4,312.0,29.0,1.0,,214,191,321,777,,,,,0.0,70.0,10.0,60.0,0.0,73.25,73.25,52.24999999999999,51.5,73.3642453787947,0.03887086884087419,542.0747180970535,1,0,0,0,,,,
7.0,22.0,00:54:31.600,81790.0,B,,長球,,1.0,A4,312.0,29.0,1.0,,,5,1,,B3,326.0,859.0,1.0,,,,,,313,21,435,1042,80.0,10.0,60.0,40.0,35.5,27.750000000000004,45.058989114271085,34.0,14.000000000000002,36.76955262170047,,1084.2232242485861,,,,,1,0,0,0
