unique_id,rally,ball_round,time,frame_num,player,server,type,around_head,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
2018-Indonesia_open-finals-1-1,4,16,00:01:00.100000,1802,B,,放小球,,,A1,271,521,2.0,,,4,3,,B1,148.0,397.0,2.0,0.0,325,-647,336,510,282.0,28.0,281.0,-28.0,80.0,0.0,70.0,0.0,0.5,5.0,5.024937810560445,35.75,80.0,87.62455420713991,0.08330103540773068,1157.0522892246486,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,4,17,00:01:00.900000,1828,A,,挑球,,,A1,148,397,2.0,,,4,3,,A3,110.0,876.0,1.0,2000.0,282,28,281,-28,323.0,-667.0,193.0,830.0,20.0,30.0,30.0,50.0,12.0,154.25,154.71607059384618,14.249999999999998,121.24999999999999,122.08449942560276,0.27674774163486865,56.00892785976178,"[0, 0, 1, 0]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,4,18,00:01:02.100000,1864,B,,切球,,,A3,110,876,1.0,,,4,3,,B2,89.0,211.0,2.0,0.0,323,-667,193,830,234.0,-589.0,224.0,-513.0,70.0,0.0,40.0,20.0,18.25,10.0,20.810153771656758,6.5,14.499999999999998,15.890248582070704,0.05031152949374527,1502.6340206450805,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,19,00:01:02.700000,1881,A,,擋小球,,,B2,89,211,2.0,,,4,3,,A1,67.0,573.0,2.0,1000.0,234,-589,224,-513,250.0,-627.0,167.0,772.0,10.0,80.0,0.0,60.0,47.75,20.5,51.96453117271433,50.0,26.0,56.356011214421486,0.10824653574133447,76.6550715869472,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,4,20,00:01:03.700000,1910,B,,挑球,,1.0,C1,67,573,2.0,,,4,3,,A4,310.0,15.0,1.0,1000.0,250,-627,167,772,425.0,-671.0,424.0,-617.0,80.0,90.0,60.0,20.0,42.0,2.25,42.060224678429854,1.5,29.499999999999996,29.53811097548386,0.05133042470114581,1401.4599530489625,"[0, 0, 1, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,21,00:01:04.900000,1948,A,,切球,1.0,,A3,310,15,1.0,,,4,3,,A1,112.0,570.0,2.0,1000.0,425,-671,424,-617,418.0,-618.0,173.0,654.0,0.0,0.0,20.0,90.0,47.5,147.5,154.95967217311735,46.99999999999999,144.75,152.18923253633943,0.3071486814231831,54.00925846556311,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,4,22,00:01:05.900000,1977,B,,擋小球,,1.0,A1,112,570,2.0,,,4,3,,B1,112.0,386.0,2.0,1000.0,418,-618,173,654,235.0,-81.0,236.0,-38.0,0.0,10.0,30.0,50.0,30.0,72.75,78.69283639569741,48.25,131.25,139.83785252927763,0.13654313522758213,1295.3798670660278,"[0, 0, 1, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,23,00:01:06.900000,2007,A,,挑球,,,A1,112,386,2.0,,,4,3,,B4,276.0,911.0,1.0,2000.0,235,-81,236,-38,298.0,-327.0,366.0,1179.0,10.0,80.0,90.0,50.0,7.249999999999999,9.5,11.95041840271712,12.75,1.25,12.811127975318955,0.014423168090879956,43.01162633521314,"[0, 0, 0, 1]","[1, 0, 0, 0]"
2018-Indonesia_open-finals-1-1,4,24,00:01:08.700000,2061,B,,切球,,,A3,276,911,1.0,,,4,3,,B2,118.0,306.0,2.0,1000.0,298,-327,366,1179,206.0,-43.0,185.0,-43.0,60.0,30.0,10.0,0.0,3.5000000000000004,30.75,30.948546007849863,37.25,137.5,142.4563529646888,0.11426340183978421,1507.5344108842094,"[1, 0, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,25,00:01:09.600000,2087,A,,擋小球,,,A2,118,306,2.0,,,4,3,,A1,88.0,555.0,2.0,1000.0,206,-43,185,-43,284.0,-204.0,217.0,629.0,10.0,30.0,20.0,30.0,17.75,149.25,150.3017797632483,23.0,149.25,151.0117958968769,0.30126867162053206,21.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,4,26,00:01:10.700000,2121,B,,挑球,,1.0,C1,88,555,2.0,,,4,3,,B4,81.0,26.0,1.0,1000.0,284,-204,217,629,277.0,-640.0,277.0,-640.0,50.0,70.0,30.0,10.0,3.75,105.75000000000001,105.81646847253975,58.25,72.75,93.1967005853748,0.0637122437212817,835.6901339611471,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,27,00:01:11.900000,2157,A,,長球,,,B3,81,26,1.0,,,4,3,,B2,352.0,730.0,1.0,1000.0,277,-640,277,-640,269.0,-627.0,450.0,920.0,40.0,80.0,30.0,20.0,28.499999999999996,17.0,33.185087012090236,23.25,70.5,74.23484693861772,0.1016578206534057,0.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,4,28,00:01:12.900000,2187,B,,殺球,,,B2,352,730,1.0,,,4,3,,A3,367.0,159.0,,1000.0,269,-627,450,920,391.0,-572.0,370.0,-358.0,20.0,50.0,10.0,80.0,18.0,103.75,105.29986942062179,24.75,283.0,284.0802043437733,0.07175081881065888,1557.552567331196,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,29,00:01:13.400000,2201,A,,未擊球,,,C2,367,159,,落地,殺球精準,4,4,B,,,,,4000.0,391,-572,370,-358,341.0,-212.0,351.0,-212.0,20.0,20.0,30.0,70.0,17.0,3.0,17.26267650163207,44.25,381.75,384.30603039765066,0.12986494052583158,215.02790516581794,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,5,1,00:01:17.800000,2335,A,1,發長球,,,A2,205,262,2.0,,,5,5,,A4,129.0,911.0,1.0,2000.0,341,-212,351,-212,323.0,-560.0,193.0,1169.0,40.0,10.0,70.0,20.0,49.0,17.75,52.1158565121979,45.75,33.0,56.40977308942131,0.07165697608901887,10.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,5,2,00:01:19.900000,2398,B,,切球,,,A3,129,911,1.0,,,5,5,,B2,76.0,305.0,2.0,1000.0,323,-560,193,1169,145.0,-141.0,168.0,-80.0,90.0,30.0,80.0,70.0,12.75,23.25,26.516504294495533,20.5,30.75,36.95690057350589,0.03408537076224931,1733.8803303573175,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,5,3,00:01:20.800000,2424,A,,挑球,,,B2,76,305,2.0,,,5,5,,A3,71.0,843.0,1.0,1000.0,145,-141,168,-80,272.0,-467.0,111.0,1046.0,60.0,20.0,40.0,80.0,21.5,44.5,49.42165517260627,16.0,43.0,45.880278987817846,0.09519716382329885,65.19202405202648,"[0, 0, 0, 1]","[0, 1, 0, 0]"
